,smoothing_level,smoothing_slope,damping_slope,damped,RMSE,R²
738,0.2,0.1,0.1,False,9.477156706622829,-26.723182177020025
739,0.2,0.2,0.1,False,13.603267634547501,-56.11805895101219
740,0.2,0.3,0.1,False,17.238200257022967,-90.72142606823734
741,0.2,0.4,0.1,False,20.20314647310564,-124.98678113125064
742,0.2,0.5,0.1,False,22.55380523529607,-156.0097444251488
743,0.2,0.6,0.1,False,24.30228037512625,-181.29762439941788
744,0.2,0.7,0.1,False,25.456258363690626,-199.021230852957
745,0.2,0.8,0.1,False,26.052216372428525,-208.49627637907668
746,0.2,0.9,0.1,False,26.095571429692356,-209.19412722457696
747,0.3,0.1,0.1,False,10.017930491548967,-29.97725874348406
748,0.3,0.2,0.1,False,13.661780509411297,-56.61048912928963
749,0.3,0.3,0.1,False,16.035836234185915,-78.37252200825304
750,0.3,0.4,0.1,False,17.088445388791154,-89.13470981144899
751,0.3,0.5,0.1,False,16.857367371380093,-86.71350348883881
752,0.3,0.6,0.1,False,15.383860728312431,-72.04956502487573
753,0.3,0.7,0.1,False,12.751356527137144,-49.18798190269644
754,0.3,0.8,0.1,False,9.32492906920505,-25.839722988633508
755,0.3,0.9,0.1,False,6.899347145633618,-13.692745291070878
756,0.4,0.1,0.1,False,8.743062427954936,-22.594681212143094
757,0.4,0.2,0.1,False,10.447168021320003,-32.68868927242276
758,0.4,0.3,0.1,False,10.040206405743866,-30.115174244863294
759,0.4,0.4,0.1,False,7.794910140727576,-17.754659393183175
760,0.4,0.5,0.1,False,5.527848696367087,-8.43190135472582
761,0.4,0.6,0.1,False,9.087764096654299,-24.49183184842546
762,0.4,0.7,0.1,False,17.839462359942935,-97.23143273491733
763,0.4,0.8,0.1,False,29.370864566044453,-265.26888308492147
764,0.4,0.9,0.1,False,43.10650046787017,-572.5515909349145
765,0.5,0.1,0.1,False,6.002113413886289,-10.119758366526025
766,0.5,0.2,0.1,False,5.07567519836066,-6.951967588293515
767,0.5,0.3,0.1,False,4.767358676584558,-6.015241247368695
768,0.5,0.4,0.1,False,11.456392499664261,-39.51191042700558
769,0.5,0.5,0.1,False,22.77564192264409,-159.1135945970019
770,0.5,0.6,0.1,False,37.4928682735247,-432.89464200893923
771,0.5,0.7,0.1,False,55.248503423651826,-941.1672236305302
772,0.5,0.8,0.1,False,75.7967198977821,-1772.322723104704
773,0.5,0.9,0.1,False,98.92346102189448,-3019.546739369638
774,0.6,0.1,0.1,False,3.0107339300256557,-1.7978969130246854
775,0.6,0.2,0.1,False,6.472897418984722,-11.93255708652283
776,0.6,0.3,0.1,False,16.605251461072715,-84.10946658138279
